,asset,free,locked
408,TLM,0.00000000,0.00000000
409,1INCHUP,0.00000000,0.00000000
410,1INCHDOWN,0.00000000,0.00000000
411,MIR,0.00000000,0.00000000
412,BAR,0.00000000,0.00000000
413,FORTH,0.00000000,0.00000000
414,EZ,0.00000000,0.00000000
415,AR,0.00000000,0.00000000
416,ICP,0.00000000,0.00000000
417,SHIB,0.00,0.00
418,POLS,0.00000000,0.00000000
419,MASK,0.00000000,0.00000000
420,LPT,0.00000000,0.00000000
421,AGIX,0.00000000,0.00000000
422,ATA,0.00000000,0.00000000
423,NU,0.00000000,0.00000000
424,GTC,0.00000000,0.00000000
425,KLAY,0.00000000,0.00000000
426,TORN,0.00000000,0.00000000
427,KEEP,0.00000000,0.00000000
428,ERN,0.00000000,0.00000000
429,BOND,0.00000000,0.00000000
430,MLN,0.00000000,0.00000000
431,C98,0.00000000,0.00000000
432,FLOW,0.00000000,0.00000000
433,QUICK,0.00000000,0.00000000
434,RAY,0.00000000,0.00000000
435,MINA,0.00000000,0.00000000
436,QNT,0.00000000,0.00000000
437,CLV,0.00000000,0.00000000
438,XEC,0.00,0.00
439,ALPACA,0.00000000,0.00000000
440,FARM,0.00000000,0.00000000
441,VGX,0.00000000,0.00000000
442,MBOX,0.00000000,0.00000000
443,WAXP,0.00000000,0.00000000
444,TRIBE,0.00000000,0.00000000
445,GNO,0.00000000,0.00000000
446,USDP,0.00000000,0.00000000
447,DYDX,0.00000000,0.00000000
448,GALA,0.00000000,0.00000000
449,ILV,0.00000000,0.00000000
450,YGG,0.00000000,0.00000000
451,FIDA,0.00000000,0.00000000
452,AGLD,0.00000000,0.00000000
453,BETA,0.00000000,0.00000000
454,RAD,0.00000000,0.00000000
455,RARE,0.00000000,0.00000000
456,SSV,0.00000000,0.00000000
457,LAZIO,0.00000000,0.00000000
458,MOVR,0.00000000,0.00000000
459,CHESS,0.00000000,0.00000000
460,DAR,0.00000000,0.00000000
461,ACA,0.00000000,0.00000000
462,ASTR,0.00000000,0.00000000
463,BNX,0.00000000,0.00000000
464,RGT,0.00000000,0.00000000
465,CITY,0.00000000,0.00000000
466,ENS,0.00000000,0.00000000
467,PORTO,0.00000000,0.00000000
468,JASMY,0.00000000,0.00000000
469,AMP,0.00000000,0.00000000
470,PLA,0.00000000,0.00000000
471,PYR,0.00000000,0.00000000
472,SANTOS,0.00000000,0.00000000
473,RNDR,0.00000000,0.00000000
474,ALCX,0.00000000,0.00000000
475,MC,0.00000000,0.00000000
476,ANY,0.00000000,0.00000000
477,VOXEL,0.00000000,0.00000000
478,BICO,0.00000000,0.00000000
479,FLUX,0.00000000,0.00000000
480,UST,0.00000000,0.00000000
481,HIGH,0.00000000,0.00000000
482,OOKI,0.00000000,0.00000000
483,CVX,0.00000000,0.00000000
484,PEOPLE,0.00000000,0.00000000
485,SPELL,0.00000000,0.00000000
486,JOE,0.00000000,0.00000000
487,BDOT,0.00000000,0.00000000
488,GLMR,0.00000000,0.00000000
489,ACH,0.00000000,0.00000000
490,IMX,0.00000000,0.00000000
491,LOKA,0.00000000,0.00000000
492,BTTC,0.0,0.0
493,SOLO,0.37104326,0.00000000
494,ANC,0.00000000,0.00000000
495,API3,0.00000000,0.00000000
496,XNO,0.00000000,0.00000000
497,WOO,0.00000000,0.00000000
498,ALPINE,0.00000000,0.00000000
499,T,0.00000000,0.00000000
500,NBT,0.00000000,0.00000000
501,KDA,0.00000000,0.00000000
502,APE,0.00000000,0.00000000
503,GMT,0.00000000,0.00000000
504,MOB,0.00000000,0.00000000
505,BSW,0.00000000,0.00000000
506,MULTI,0.00000000,0.00000000
507,REI,0.00000000,0.00000000
508,GAL,0.00000000,0.00000000
509,NEXO,0.00000000,0.00000000
510,EPX,0.00000000,0.00000000
511,LDO,0.00000000,0.00000000
512,USTC,0.00000000,0.00000000
513,LUNC,0.00000000,0.00000000
514,OP,0.00000000,0.00000000
515,LEVER,0.00000000,0.00000000
516,STG,0.00000000,0.00000000
